module	dropped_run	dropped_group	delta_S_minus_M	direction_consistent_with_full
tryptophan_indole	DRR764581	M	-0.119186678314	True
tryptophan_indole	DRR764582	M	-0.136822482799	True
tryptophan_indole	DRR764583	M	-0.145575826809	True
tryptophan_indole	DRR764584	M	-0.110371611185	True
tryptophan_indole	DRR764585	M	-0.132903977905	True
tryptophan_indole	DRR764586	M	-0.141169402926	True
tryptophan_indole	DRR764587	M	-0.0815316678885	True
tryptophan_indole	DRR764588	M	-0.0899723826606	True
tryptophan_indole	DRR764589	M	-0.162960985706	True
tryptophan_indole	DRR764590	S	-0.149622068671	True
tryptophan_indole	DRR764591	S	-0.115225706911	True
tryptophan_indole	DRR764592	S	-0.138561486056	True
tryptophan_indole	DRR764593	S	-0.146197290209	True
tryptophan_indole	DRR764594	S	-0.117307507349	True
tryptophan_indole	DRR764595	S	-0.095219202417	True
tryptophan_indole	DRR764596	S	-0.121673474084	True
tryptophan_indole	DRR764597	S	-0.103621092248	True
tryptophan_indole	DRR764598	S	-0.108553044392	True
tryptophan_indole	DRR764599	S	-0.135963637399	True
tryptophan_indole	DRR764600	S	-0.137549398945	True
